['Geliştirme Araçları (Agentic + IDE + Tasarım + Operasyon)', None, None, None, None, None, None, None]
['Solo geliştirici + AI agent tooling stack — aylık abonelik tabanlı', None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
['Kategori', 'Ürün', 'Sağlayıcı', 'Plan', 'USD/ay', 'TL/ay', 'Notlar', None]
['Agentic AI', 'Claude Max 5x', 'Anthropic', 'Max 5x', 100, '=E5*Ozet!$B$5', 'Birincil agentic dev — Claude Code, sınırlı sayıda Sonnet/Opus oturumu', None]
['Agentic AI', 'Cursor Pro', 'Cursor', 'Pro', 20, '=E6*Ozet!$B$5', 'IDE-içi AI; tab autocomplete, agent mode', None]
['Agentic AI', 'GitHub Copilot', 'GitHub', 'Kesildi', 0, '=E7*Ozet!$B$5', 'Cursor Pro ile çakışıyor — gereksiz', None]
['API testing', 'Anthropic API', 'Anthropic', 'PAYG', 75, '=E8*Ozet!$B$5', 'Geliştirme/test için API çağrı bütçesi', None]
['API testing', 'OpenAI API', 'OpenAI', 'PAYG', 25, '=E9*Ozet!$B$5', 'GPT-4o, Whisper, TTS testleri — budget yarıya indirildi', None]
['Geliştirme', 'GitHub Pro', 'GitHub', 'Free', 0, '=E10*Ozet!$B$5', 'Free tier: sınırsız private repo, yeterli', None]
['Geliştirme', 'Vercel preview', 'Vercel', 'Pro', 0, '=E11*Ozet!$B$5', 'Hosting tarafında (Sunucu sayfasında)', None]
['Tasarım', 'Figma Pro', 'Figma', 'Free', 0, '=E12*Ozet!$B$5', 'Free tier: 3 proje — solo dev için yeterli', None]
['Operasyon', 'Notion', 'Notion', 'Free', 0, '=E13*Ozet!$B$5', 'Free tier: 1.000 blok — 6 ay için yeterli', None]
['Operasyon', 'Linear', 'Linear', 'Free', 0, '=E14*Ozet!$B$5', 'GitHub Issues ile ikame — ücretsiz', None]
['Operasyon', '1Password', '1Password', 'Free', 0, '=E15*Ozet!$B$5', 'Bitwarden free ile ikame', None]
['Operasyon', 'Loom', 'Loom', 'Free', 0, '=E16*Ozet!$B$5', 'Free tier: 25 video — handover için yeterli', None]
['Yasal/Muhasebe', 'Muhasebe (TR)', 'Mali müşavir', 'Ertelendi', 0, '=E17*Ozet!$B$5', 'Sözleşme öncesinde devreye al', None]
['Yasal/Muhasebe', 'Sözleşme avukat', 'Avukat', 'Ertelendi', 0, '=E18*Ozet!$B$5', 'Sözleşme imzasında tek seferlik — aylık ayırma yok', None]
[None, None, None, None, None, None, None, None]
['TOPLAM (USD/ay)', None, None, None, '=SUM(E5:E18)', '=SUM(F5:F18)', None, None]
[None, None, None, None, None, None, None, None]
['YILLIK TOPLAM', None, None, None, '=E20*12', '=F20*12', None, None]
[None, None, None, None, None, None, None, None]
['Bakım dönemi minimum stack (devirden sonra)', None, None, None, None, None, None, None]
['Ürün', 'Sağlayıcı', 'Plan', 'USD/ay', 'TL/ay', 'Notlar', None, None]
['Claude Max 5x', 'Anthropic', 'Max 5x', 100, '=D26*Ozet!$B$5', 'Bakım/küçük feature için yeterli', None, None]
['Cursor Pro', 'Cursor', 'Pro', 20, '=D27*Ozet!$B$5', 'Düşürebilirsin ama önerilir', None, None]
['GitHub Pro', 'GitHub', 'Pro', 0, '=D28*Ozet!$B$5', 'GitHub Free — yeterli', None, None]
['Notion', 'Notion', 'Plus', 0, '=D29*Ozet!$B$5', 'Free tier ile devam', None, None]
['Muhasebe', 'Mali müşavir', 'Aylık', 0, '=D30*Ozet!$B$5', 'Gerektiğinde devreye al', None, None]
['BAKIM DÖNEMİ TOPLAM/ay', None, None, '=SUM(D26:D30)', '=SUM(E26:E30)', None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None]
